SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.906477809	0.3125	53.97985458	35.92013931	61.73679352	729.4879761	4229.70301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1532745	0.876962781	0.0234375	53.97985458	35.92013931	61.73679352	729.4879761	4229.71301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.901936948	0.041666668	53.97985458	35.92013931	61.73679352	729.4879761	4229.73301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.876962781	-0.168750003	53.97985458	35.92013931	61.73679352	729.4879761	4229.76301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1532745	0.899666727	-0.428124994	53.97985458	35.92013931	61.73679352	729.4879761	4229.78801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9554749	0.856529236	-0.661458314	53.97985458	35.92013931	61.73679352	729.4879761	4229.83801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.043396	0.856529236	-0.5625	53.97985458	28.68216515	61.73679352	729.4879761	4229.86801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.2192078	0.817932546	-0.53125	53.97985458	28.68216515	61.73679352	729.4879761	4229.90801
0.46875	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.824743807	-0.205357149	53.97985458	28.68216515	61.73679352	729.4879761	4229.95301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9335022	0.79522872	-0.209374994	53.97985458	28.68216515	61.73679352	729.4879761	4229.98801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9554749	0.838366091	0.086397059	53.97985458	28.68216515	61.73679352	729.4879761	4230.03801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.799769402	0.200520828	53.97985458	28.68216515	61.73679352	729.4879761	4230.12301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.0653687	0.765713632	0.214583337	53.97985458	28.68216515	60.40369034	729.4879761	4230.18301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.792958319	0.278645843	53.97985458	28.68216515	60.40369034	729.4879761	4230.33301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1532745	0.777065516	0.15625	53.97985458	28.68216515	60.40369034	729.4879761	4230.39301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	144.9994354	0.765713632	-0.046875	53.97985458	28.68216515	60.40369034	729.4879761	4230.41801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1093292	0.838366091	146.7763214	54.46754837	31.08107376	60.79792404	729.4879761	4232.43801
0.40625	#NUM!	#NUM!	#NUM!	100.4708328	-0.817522347	#NUM!	#NUM!	#NUM!	145.1752625	0.840636432	146.7763214	54.4239769	31.65143013	58.77306366	729.4879761	4237.09301
0.375	#NUM!	#NUM!	#NUM!	100.7361526	-0.874057114	#NUM!	#NUM!	#NUM!	145.7247009	0.686249912	146.7763214	53.25662994	32.79711533	57.51583862	729.4879761	4238.26801
0.375	#NUM!	#NUM!	#NUM!	100.7361526	-0.874057114	#NUM!	#NUM!	#NUM!	145.0653687	0.654464483	21.08737755	53.25662994	32.79711533	57.51583862	729.4879761	4238.43301
0.4375	#NUM!	#NUM!	#NUM!	100.7118378	-1.131949067	#NUM!	#NUM!	#NUM!	145.0873413	0.67943871	51.57560349	53.46753693	32.74684525	57.51583862	729.4879761	4239.19301
0.375	#NUM!	#NUM!	#NUM!	100.6299057	-0.790290177	#NUM!	#NUM!	#NUM!	145.3510742	0.722576201	51.57560349	53.64760208	32.70986557	58.99084473	729.4879761	4240.22301
0.4375	#NUM!	#NUM!	#NUM!	100.6299057	-0.790290177	#NUM!	#NUM!	#NUM!	145.2631683	0.674897969	40.01968765	53.64760208	32.70986557	63.28279495	729.4879761	4240.43301
0.40625	#NUM!	#NUM!	#NUM!	100.6299057	-0.790290177	#NUM!	#NUM!	#NUM!	145.0653687	0.668086767	40.01968765	54.56051636	32.89004517	63.28279495	729.4879761	4241.04301
0.4375	#NUM!	#NUM!	#NUM!	100.6299057	-0.790290177	#NUM!	#NUM!	#NUM!	145.2411957	0.67943871	0.224269286	54.56051636	32.89004517	59.3993454	729.4879761	4241.43301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.1752625	0.665816367	-0.565340936	53.43811798	31.4591713	64.52522278	729.4879761	4243.44301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4389801	0.64084208	-0.333333343	53.43811798	31.4591713	64.52522278	729.4879761	4243.49801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5708466	0.638571739	-0.377840906	53.43811798	31.4591713	64.52522278	729.4879761	4243.51301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5928345	0.652194023	-0.122596152	53.43811798	31.4591713	64.52522278	729.4879761	4243.56801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3291016	0.647653222	-0.2890625	53.89739227	31.96393013	64.52522278	729.4879761	4243.63301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3291016	0.638571739	0.052884616	53.89739227	31.96393013	64.52522278	729.4879761	4243.65301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3291016	0.654464483	0.12109375	53.89739227	31.96393013	64.52522278	729.4879761	4243.71801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5049133	0.624949336	0.178571433	53.89739227	31.96393013	64.52522278	729.4879761	4243.83801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5928345	0.631760597	0.228260875	53.89739227	31.96393013	64.52522278	729.4879761	4243.87301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4829407	0.661275625	0.25	53.89739227	31.96393013	64.52522278	729.4879761	4243.98801
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3950348	0.645382881	0.120535716	53.89739227	31.96393013	64.52522278	729.4879761	4244.00801
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.043396	0.647653222	-0.027083334	53.89739227	31.96393013	64.52522278	729.4879761	4244.07801
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.285141	0.609056652	-0.1953125	53.89739227	31.96393013	64.52522278	729.4879761	4244.15301
0.40625	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3291016	0.647653222	-0.109375	53.89739227	31.96393013	64.52522278	729.4879761	4244.17301
0.4375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.3291016	0.631760597	-0.224999994	53.89739227	31.96393013	64.52522278	729.4879761	4244.18301
0.375	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.4389801	0.636301279	-0.328125	53.89739227	31.96393013	62.32358932	729.4879761	4244.20801
0.46875	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	#NUM!	145.5269012	0.629490137	-0.509510875	53.89739227	31.96393013	62.32358932	729.4879761	4244.21801
