Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time	Cmt Text
L/s	%O2	%CO2	mmHg	V	%	%O2	%CO2	cm/s	cm/s	d(L)	L	BPM	L/min	L/min	%O2	%CO2	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	d(s)	 
0.015082813	13.79920438	5.661232163	112.5625	-2.017887732	95.4375	18.8374939	1.970780849	64.84375	33	-0.39574647	-0.712960064	16.80672264	13.29334164	13.27016354	20.59748268	0.34886685	38.61749268	93.55055237	#NUM!	#NUM!	#NUM!	93.96762085	38.55095291	88.58500671	51.24617004	25.95038414	79.39795685	23.89999962	20	727.9639893	4.430587769	6399.897256	start baseline
0.009803828	13.67671286	5.739403081	72.5	-2.017483121	95.59375	18.85440636	1.961468339	44.3125	23.65625	-0.411309362	-0.702942371	16.73640251	13.05172062	13.02001381	20.59748268	0.410752147	39.08326721	92.92495728	#NUM!	#NUM!	#NUM!	93.13349152	39.08326721	87.85041046	53.39621735	27.79814529	224.7798462	23.89999962	20	727.9639893	4.430587769	6403.467256	start baseline
0.008295547	13.6154671	5.775231418	84.78125	-2.016935706	95.59375	18.87063789	1.951989651	54.125	28.125	-0.419690371	-0.728039265	17.4418602	14.08748817	14.06953239	20.59748268	0.326067001	39.39378357	92.29936981	#NUM!	#NUM!	#NUM!	92.71642303	39.32724762	86.54502869	54.42382813	27.75548744	77.19048309	23.89999962	20	727.9639893	4.430587769	6407.052256	start baseline
0.010557969	13.55422135	5.775231418	115.53125	-2.01779253	95.59375	18.88467026	1.942943573	71.125	23.96875	-0.380566061	-0.698464632	16.75977707	12.98669434	12.95792103	20.62810707	0.374923825	39.5268631	92.09083557	#NUM!	#NUM!	#NUM!	92.29936981	39.32724762	88.21588135	55.17897797	25.79891968	73.85066986	23.89999962	20	727.9639893	4.430587769	6410.492256	start baseline
0.008295547	13.52359847	5.768717175	76.4375	-2.017364118	95.28125	18.8972435	1.934634209	52.21875	24.65625	-0.414584458	-0.698403359	15.85204792	12.28224087	12.26316833	20.5668602	0.387952298	39.5268631	91.46524811	#NUM!	#NUM!	#NUM!	92.09083557	39.28289032	87.15625	52.40363312	25.03982353	68.27695465	23.89999962	20	727.9639893	4.430587769	6414.072256	start baseline
0.01206625	13.43172983	5.837116729	86.09375	-2.017221314	95.3125	18.90887451	1.92675817	62.3125	32	-0.440614343	-0.677609265	17.5953083	13.22702408	13.21168327	20.53623772	0.391209424	39.79302216	90.83964539	#NUM!	0.162366331	#NUM!	91.46524811	39.74866486	86.76450348	51.45066452	25.92041397	74.80271149	23.89999962	20	727.9639893	4.430587769	6417.857256	start baseline
0.007541406	13.33986119	5.817573999	76.875	-2.017030908	95.5	18.91892052	1.919234991	46.78125	25.625	-0.425589681	-0.702393234	16.46090508	12.82684803	12.81216812	20.5668602	0.361895323	39.79302216	90.00553131	0.171681404	0.157035023	0.914688587	90.83964539	39.61558151	88.37783813	52.63500595	26.4682045	69.38865662	23.89999962	20	727.9639893	4.430587769	6421.267256	start baseline
0.017345235	13.30923832	5.843630972	105.3125	-2.014293833	95.25	18.92997551	1.910606742	39.96875	20.625	-0.429274499	-0.758367479	15.34526825	12.91041183	12.89114189	20.65872955	0.300010026	39.90392303	90.00553131	0.173578024	0.157706603	0.908563197	90.6311264	39.79302216	88.44132233	53.12231827	26.64076233	67.32550049	23.89999962	20	727.9639893	4.430587769	6424.912256	start baseline
0.011312109	13.43172983	5.765460054	75.15625	-2.010699933	95.5625	18.9422226	1.900597811	48.28125	23.5625	-0.357858241	-0.688933909	17.72525787	13.54740334	13.51084042	20.65872955	0.397723675	39.68212509	90.00553131	0.185639143	0.165369198	0.890809953	91.46524811	39.26070786	93.51099396	54.98347092	27.05904388	239.2363129	23.89999962	20	727.9639893	4.430587769	6428.822256	start baseline
0.016591094	13.30923832	5.827345364	121.96875	-2.01529346	95.4375	18.95165634	1.891926885	41.3125	22.75	-0.420499563	-0.703348279	17.41654587	13.58996677	13.57836437	20.53623772	0.374923825	39.70430374	90.42259216	0.184059143	0.166662872	0.905485451	90.6311264	39.68212509	88.95291138	54.17972183	27.20763016	233.9607391	23.89999962	20	727.9639893	4.430587769	6432.207256	start baseline
