SpO2	VT	Fb	VI	Systolic	Diastolic	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Barometric Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
%	L	BPM	L/min	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	mmHg	s
96.5	-0.860104919	9.646302223	9.136795998	118.9842529	48.38750076	0.035798907	-0.001710847	-0.047790494	92.60453033	39.87319565	67.87626648	57.18259048	29.85816002	61.94665909	729.4879761	4535.66301
96.34375	-1.262357712	8.547008514	11.88168907	126.2021713	53.58984375	0.047151446	-0.002123278	-0.04503103	90.71443939	40.81086731	73.04075623	59.75624847	29.75750732	63.28096771	729.4879761	4541.88301
96.5625	-0.68358475	15.91511917	11.98074627	131.15625	40.60585022	0.049348593	-0.002384724	-0.048324049	94.09900665	39.08309937	61.484375	52.05021667	29.66343307	71.76196289	729.4879761	4548.90301
96.28125	-1.209770203	7.899934292	10.52465725	124.9526596	47.31594849	0.045204401	-0.002266067	-0.050129335	93.08803558	39.40322495	67.11446381	57.55788803	30.1785717	66.59469604	729.4879761	4552.67301
96.28125	-0.64955616	13.15789509	9.412061691	145.761261	53.90625	0.0404073	-0.001894942	-0.046896026	91.989151	40.32273102	75.59928894	55.63313293	28.14447212	61.43249512	729.4879761	4560.26801
96.25	-1.049619198	12.53918457	14.49381447	139.1846924	46.87109375	0.060081959	-0.002410406	-0.040118631	90.38477325	40.59518051	67.65608215	54.95624924	29.61148643	63.99162674	729.4879761	4564.82801
96.375	-0.909807384	11.58301163	11.60519791	139.7202759	52.24954224	0.048343897	-0.001618082	-0.033470239	93.5056076	38.80838394	74.82076263	60.25911331	33.82889938	59.12395096	729.4879761	4569.61301
96.53125	-0.693563521	14.21800995	10.85942078	125.2415161	37.15594864	0.045122981	-0.001564399	-0.034669664	93.76934052	39.08082962	69.76630402	53.4176712	35.12919617	60.69405365	729.4879761	4574.79301
96.3125	-0.654271603	10.8205595	7.796315193	113.2502136	44.70944977	0.030813336	-0.001280808	-0.041566666	92.62650299	39.75059509	59.29550552	59.6569519	36.69696808	65.61972809	729.4879761	4579.01301
96.28125	-1.121069074	7.609385014	9.394281387	117.9098587	46.21306992	0.038317919	-0.001806095	-0.047134481	88.56062317	41.79394531	65.77985382	59.79140472	34.14949417	62.7013855	729.4879761	4584.55801
96.4375	-1.351953506	6.868917942	10.22661018	148.3333282	46.55029297	0.043315649	-0.002242171	-0.051763527	90.03312683	40.987957	68.68521881	57.13167191	31.93881607	63.68496323	729.4879761	4592.44301
96.5625	-1.251778245	7.15563488	9.864093781	118.5149841	40.84296799	0.042840362	-0.002115461	-0.049380094	92.34078979	40.58382797	60.01385498	52.99888229	27.54513931	63.39493179	729.4879761	4601.17801
96.5625	-1.624936104	5.484460831	9.814130783	120.640625	45.81109238	0.043012381	-0.001851031	-0.043034833	93.04408264	40.37949371	65.9434967	53.04931641	26.4563427	62.50901031	729.4879761	4609.56301
96.25	-1.725624442	4.436229229	8.430277824	142.6696777	44.45703125	0.037141919	-0.002197935	-0.059176676	93.92319489	40.82448959	65.95459747	50.81784058	28.07860374	63.15582275	729.4879761	4620.50301
97.5625	-1.70727706	5.517241478	10.37307644	118.0444489	43.65234375	0.044131041	-0.004192278	-0.094996132	92.7803421	41.57144928	60.91443634	56.32328796	30.31419373	69.83431244	729.4879761	4634.02801
97.34375	-1.872839808	5.422503471	11.18361187	111.7245483	41.78125	0.048440456	-0.003775717	-0.07794553	94.20889282	41.02428436	59.72316742	53.81421661	29.08770752	66.77416992	729.4879761	4644.90301
97.40625	-1.418151498	7.407407284	11.56832409	135.642395	40.42171097	0.049368143	-0.002385086	-0.048312247	97.98907471	39.41003418	60.84999847	51.77755356	29.0044899	67.89944458	729.4879761	4655.96801
97.375	-1.202075481	6.779661179	8.974729538	136.9277802	45.1171875	0.038098216	-0.001794414	-0.047099691	98.86817932	39.55307388	66.10832977	47.65297699	26.15283203	64.39664459	729.4879761	4664.06801
97.46875	-1.365518451	6.956521511	10.46095467	122.9543457	43.22688293	0.044904232	-0.002232007	-0.049705926	96.73634338	39.90725327	72.85086823	51.71969223	26.6922493	60.60578537	729.4879761	4672.91801
97.5625	-1.173982978	7.168458939	9.267641068	131.4657288	48.81498718	0.039270878	-0.002019204	-0.051417343	98.45059204	38.67670059	70.28298187	53.21776199	25.50996017	54.39608383	729.4879761	4681.54301
96.4375	-1.423314095	5.150214672	8.072493553	123.875	44.55113602	0.03439343	-0.001592569	-0.046304464	98.89015198	38.47236252	64.50390625	49.57183075	28.41622734	57.88501358	729.4879761	4689.91301
96.4375	-1.248853922	8.20793438	11.28826332	147.0968933	44.71279907	0.047698021	-0.009233585	-0.193584234	96.12096405	40.40446854	66.47812653	50.78749847	29.70877647	64.63239288	729.4879761	4701.56301
97.5625	-0.913189173	6.952491283	6.991700649	116.28125	37.1689949	0.039464831	-0.011151391	-0.282565266	97.74731445	38.84243774	56.09234619	48.13490295	26.58791161	65.1916275	729.4879761	4708.87301
96.3125	-1.311146259	7.677543163	11.08549404	112.0023422	44.81734467	0.04428339	-0.011617339	-0.262340784	94.38471985	39.3441925	62.67362976	54.73834229	29.3348217	62.12778473	729.4879761	4717.50301
96.21875	-1.317083001	7.495315552	10.87138081	130.7970734	44.0234375	0.044631243	-0.002998201	-0.067177176	94.53855896	39.66659164	63.89016724	53.661129	28.23245049	59.39681625	729.4879761	4725.31801
96.625	-1.076489687	9.316770554	11.04477596	147.7917938	44.99188614	0.043608546	-0.006307043	-0.144628599	97.19786835	38.77659988	68.46498871	49.76065826	26.27835655	55.42918015	729.4879761	4733.32301
96.5	-1.040515661	5.309734344	6.084193707	140.2653198	44.17742538	0.027484953	-0.005878699	-0.213887885	97.59346771	39.1852684	66.80435181	48.85924149	25.79069138	53.97177124	729.4879761	4739.76301
96.34375	-0.475812554	9.654063225	5.058568478	117.9379044	41.59210587	0.018673241	-0.004066437	-0.217768148	95.04405212	39.31468201	61.55064774	52.72293472	26.32065201	58.43883514	729.4879761	4751.06301
96.4375	-0.699365318	10.02506256	7.720986366	116.0656891	46.51367188	0.027253866	-0.003858669	-0.141582444	88.03315735	42.12542343	61.66028214	63.50237656	29.08366966	61.3699913	729.4879761	4757.27801
96.4375	-1.524139881	8.695652008	14.59515095	125.6428528	39.21796799	0.05215621	-0.00663878	-0.127286479	86.51669312	42.28662109	63.1752243	57.12359238	30.70184708	61.68311691	729.4879761	4763.26301
95.375	-0.551701546	7.807416916	4.743437767	160.5712891	53.28081512	0.018488288	-0.002387704	-0.129146859	95.19789124	38.65626526	77.15432739	59.40397644	32.00627899	54.34722519	729.4879761	4770.16301
95.46875	-1.147830844	9.324008942	11.78588486	125.625145	32.04557419	0.042453885	-0.00537689	-0.126652494	90.09906769	41.22180557	64.30512238	50.00789261	27.33649063	65.3057251	729.4879761	4777.84801
96.28125	-1.080421209	9.554140091	11.36753559	132.5911713	44.66623306	0.042348385	-0.005551383	-0.131088436	92.07705688	40.02304077	66.08599854	58.02971268	30.515625	54.7771492	729.4879761	4784.28301
96.25	-0.426576138	13.95348835	6.554822922	152.9065552	48.17927551	0.027034283	-0.007106839	-0.262882471	93.5056076	39.90498352	71.74298859	55.79793549	31.17897797	54.94704819	729.4879761	4790.56301
96.5625	-0.869319677	11.61665058	11.12095451	139.8187561	39.56171799	0.039169669	-0.018000057	-0.459540695	88.38479614	42.13677597	60.76193237	53.57514954	29.66720963	57.11372375	729.4879761	4794.86301
96.28125	-0.819476605	7.147111416	6.449836731	131.8650208	46.66379166	0.0356251	-0.013758041	-0.38618955	89.76940155	40.79724503	68.0009079	54.98122406	30.24731445	46.89796066	729.4879761	4800.02801
96.4375	-0.877584636	11.95219135	11.55096245	127.449501	49.36288071	0.041792274	-0.015055071	-0.360235751	86.84635925	41.48290253	70.00317383	60.41632843	28.56216431	48.75695038	729.4879761	4808.42301
96.40625	-1.189476371	7.822685719	10.24691963	120.7977066	47.38885117	0.037806153	-0.006697032	-0.177141324	88.73644257	40.7336731	65.85083008	60.51979065	29.94297409	56.65009308	729.4879761	4813.44301
95.59375	-1.049642086	11.03955841	12.76070213	150.3591003	43.81066132	0.047544718	-0.003095441	-0.0651059	89.74741364	41.42160034	66.55436707	55.67261124	28.87450981	66.06921387	729.4879761	4821.11301
96.34375	-1.145597696	6.571741581	8.290758133	124.4865646	30.85066032	0.030907512	-0.002263373	-0.07323052	92.60453033	40.18878174	63.99093246	50.75514984	26.91379929	63.60509872	729.4879761	4826.54801
96.25	-0.902204275	10.15228462	10.08672714	136.2324982	40.32872772	0.037172198	-0.014328174	-0.385454059	89.02215576	42.27980804	60.42697144	55.33350372	35.2131691	65.68175507	729.4879761	4835.67801
96.4375	-0.79571414	8.528784752	7.473531246	126.1200562	35.88373184	0.02759099	-0.02468897	-0.894820035	88.97819519	41.89157486	55.0009346	52.81560898	28.00245476	65.84676361	729.4879761	4841.58801
96.1875	-1.134553432	11.96410751	14.94813061	119.2241211	40.82161331	0.055296183	-0.068818048	-1.244535208	86.07713318	42.70437622	60.15880585	58.69203186	29.18812561	60.54217911	729.4879761	4848.62301
