Flow	%O2	%CO2	BP	ECG	SpO2	FeO2	FeCO2	MCA	PCA	Volume	VT	Fb	VI	VE	FIO2	FICO2	PETCO2	PETO2	VO2	VCO2	RER	PO2	PCO2	MAP	MCAv	PCAv	HR	Ambient Temp	Humidity	Barometric Pressure	Water Vapour Pressure	 
Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Time
L/s	%O2	%CO2	mmHg	V	%	 	%	cm/s	cm/s	L	L	BPM	L/min	L/min	%CO2	V	mmHg	mmHg	L/min	L/min	 	mmHg	mmHg	mmHg	cm/s	cm/s	BPM	°C	%	mmHg	mmHg	s
0.005331812426	13.04712769	6.102053629	89.78125	-2.017911533	97.5	16.12143283	3.657447177	109.375	72.9375	1.854382396	-1.698722363	6.125574112	11.41520214	11.23859501	20.97999954	0.03999999911	42.93299484	84.97921753	0.4626661539	0.3225324154	0.697116971	89.34333801	41.78527832	84.9799118	71.63248444	55.39128113	72.53811646	26.79999924	20	731.7739868	5.280827045	827.0014787
0.01599543728	12.80434362	6.153624516	79	-2.018363745	97.28125	16.62763774	3.355187171	58.5	46.5	1.833495259	-1.776761413	7.10059166	13.84006119	13.66066742	20.97999954	0.03999999911	42.29291916	87.2651825	0.501635313	0.3592905104	0.7162384987	87.68080902	42.1384201	87.11268616	72.40995026	54.24186325	73.92930603	26.79999924	20	731.7739868	5.280827045	836.7964787
0.01980387419	13.8058279	5.731387876	73.8125	-2.016911905	97.34375	16.34953751	3.607267293	55.09375	42.875	1.363659263	-2.126797915	3.628666401	8.466182709	8.353728294	20.97999954	0.03999999911	43.17577744	84.77140045	0.3256504536	0.2364204526	0.7259945273	94.53871918	39.24705505	93.17852783	73.12310028	56.25580597	69.16493225	26.79999924	20	731.7739868	5.280827045	845.2464787
0.01599543728	12.92573565	6.153624516	74.28125	-2.018554151	97.34375	16.29954197	3.764300811	57.03125	43.5	2.12541461	-1.748542666	5.328596592	10.22123718	10.09897518	20.97999954	0.03999999911	43.19785309	84.97921753	0.3954125643	0.2984009385	0.7546572089	88.5120697	42.1384201	84.15238953	70.76675415	50.08377075	72.45385742	26.79999924	20	731.7739868	5.280827045	861.7814787
0.008378562517	12.86503963	6.118169531	73.09375	-2.017721128	97.40625	16.0589384	3.80503507	61.0625	44.96875	1.766063571	-1.976688504	5.165733814	11.20171738	11.04012394	20.97999954	0.03999999911	42.40327835	87.68080902	0.4579899311	0.3297691643	0.720035851	88.09644318	41.8956337	84.95277405	72.21591187	52.70589447	69.43252563	26.79999924	20	731.7739868	5.280827045	873.0414787
0.006855187938	13.04712769	6.092384088	65.75	-2.017578324	97.3125	16.04956424	3.818022804	91.53125	86.4375	2.031812191	-1.782137394	5.507113457	10.7666254	10.61178684	20.97999954	0.03999999911	41.98391724	87.88863373	0.4409294128	0.3180684447	0.7213590741	89.34333801	41.71905899	84.95484161	71.75408936	57.70055008	72.36847687	26.79999924	20	731.7739868	5.280827045	884.6564787
0.01218699943	13.04712769	6.131062253	74.90625	-2.017697327	97.375	15.86208094	3.811528937	57.5	40.09375	1.750907898	-1.576805115	6.400000095	11.07063103	10.8850708	20.97999954	0.03999999911	41.98391724	88.71988678	0.4729280472	0.3256902397	0.688667655	89.34333801	41.98391724	88.6674881	71.6341095	49.47977066	70.44467926	26.79999924	20	731.7739868	5.280827045	895.5514787
0.006093499716	12.83469163	6.137508614	102.625	-2.017911533	97.53125	15.88082927	3.901262376	74.375	50.34375	1.607052326	-1.42109406	5.928853989	9.242893219	9.100257874	20.97999954	0.03999999911	42.24877548	87.05736542	0.3919482231	0.2787706554	0.7112435699	87.88863373	42.02806091	88.12993622	70.48074341	51.9791069	70.29116821	26.79999924	20	731.7739868	5.280827045	904.9264787
0.01142531261	12.53121154	6.224534486	85.625	-2.018268543	97.59375	15.94019898	3.891226399	73.21875	55.71875	1.403244615	-1.681920052	5.284015656	9.7495327	9.604987144	20.97999954	0.03999999911	42.71228027	85.6026535	0.4081630707	0.2934692204	0.7189999223	85.81047821	42.62399292	98.62071991	67.70991516	50.76776123	65.93196106	26.79999924	20	731.7739868	5.280827045	915.0464787
0.01218699943	12.44016752	6.25031993	95.125	-2.018197141	97.40625	16.09018562	3.859937766	83.53125	57.1875	1.726516843	-1.592740417	5.763688564	10.07070446	9.936107635	20.97999954	0.03999999911	42.88885117	84.563591	0.4079232216	0.3011241257	0.7381882668	85.18702698	42.80056381	83.75964355	74.53556061	54.41618347	69.10938263	26.79999924	20	731.7739868	5.280827045	926.4014787
0.01828049868	12.71329959	6.163294058	86.09375	-2.018030536	96.3125	15.99019453	3.649772606	67.34375	49.8125	1.577194571	-1.730205059	5.089058399	9.65938282	9.49350071	20.97999954	0.03999999911	42.93299484	84.563591	0.4034905434	0.271867156	0.6737881899	87.05736542	42.20463181	85.29608154	70.86611938	51.85053635	68.89125824	26.79999924	20	731.7739868	5.280827045	936.8114787
0.01218699943	12.62225557	6.240650388	99.65625	-2.018577951	96.59375	15.93082482	3.708807763	68.15625	50.8125	1.752558231	-1.68280673	5.979073048	11.03779888	10.84819984	20.97999954	0.03999999911	42.75642395	85.6026535	0.4661855698	0.3157435358	0.6772915125	86.43392181	42.7343483	89.23390961	71.42150116	53.07316208	71.28303528	26.79999924	20	731.7739868	5.280827045	948.6014787
0.01066362485	12.89538764	6.092384088	104.21875	-2.017221314	96.3125	15.88082927	3.692868271	83.375	57.21875	1.666900635	-1.561153531	6.674082279	11.43013954	11.22459221	20.97999954	0.03999999911	41.8956337	87.47299194	0.4883733988	0.325276047	0.6660396457	88.30426025	41.71905899	85.50576782	75.05800629	55.6897583	71.4764328	26.79999924	20	731.7739868	5.280827045	958.6364787
0.01599543728	12.83469163	6.10849999	119.75	-2.01817334	96.59375	15.8714551	3.713530576	83.90625	62.625	1.656529427	-1.897602081	5.816771507	12.10881233	11.89272881	20.97999954	0.03999999911	41.8956337	87.68080902	0.518045187	0.346588254	0.6690309048	87.88863373	41.82941818	88.86856842	71.9977417	54.81436157	71.79881287	26.79999924	20	731.7739868	5.280827045	967.6264787
0.01066362485	13.35060777	6.03759002	81	-2.018149539	96.375	15.79021234	3.715301631	72.09375	48.34375	1.907274961	-1.865441203	6.063668728	12.4088459	12.17537594	20.97999954	0.03999999911	41.91770554	87.68080902	0.540245533	0.3549926281	0.6570949554	91.4214859	41.34384537	85.47828674	69.85475922	50.57326889	68.48941803	26.79999924	20	731.7739868	5.280827045	977.9414787
0.008378562517	13.77547989	5.915109162	114.625	-2.017887732	96.5625	15.79958651	3.911888704	92.71875	54.15625	1.584684253	-1.545778513	5.281690121	8.956421852	8.810452461	20.97999954	0.03999999911	41.43213272	90.59022522	0.3864569664	0.2706333697	0.7002936602	94.3309021	40.50512695	79.2334137	71.15898895	47.11066055	71.15365601	26.79999924	20	731.7739868	5.280827045	987.8364787
0.01599543728	12.86503963	6.211641764	68.25	-2.017649726	97.5625	15.88082927	3.744819209	57.5	42.8125	1.869030714	-1.857147932	4.335259914	8.832345009	8.67911911	20.97999954	0.03999999911	42.71228027	87.47299194	0.3766715527	0.2550905943	0.6772229075	88.09644318	42.53570557	75.25128174	68.45176697	49.6739769	71.12882233	26.79999924	20	731.7739868	5.280827045	999.1964787
0.006855187938	12.68295158	6.272882193	77.375	-2.01891116	97.5	16.17142838	3.757216592	63.9375	46.5	1.820445061	-1.903767347	4.552351952	9.507451057	9.377866745	20.97999954	0.03999999911	43.0874939	86.22610474	0.3793839216	0.2765616477	0.7289756536	86.84955597	42.95506668	82.86439514	73.79566193	53.05289841	71.37751007	26.79999924	20	731.7739868	5.280827045	1013.036479
0.01523375046	12.98643167	6.147178155	74.53125	-2.018363745	96.46875	16.25892059	3.88768429	62.28125	45.3125	1.940989733	-1.440502524	6.195147038	9.789938927	9.682861328	20.97999954	0.03999999911	43.10956955	86.01829529	0.3805520535	0.2955886722	0.7767364979	88.92771149	42.09427643	83.63775635	74.29884338	52.8125	71.73027039	26.79999924	20	731.7739868	5.280827045	1026.216479
0.01675712503	12.59190756	6.169740418	112.3125	-2.018054337	96.46875	15.84020789	4.087813473	78.40625	54.9375	1.428780556	-1.792870283	5.961251736	11.72467136	11.56477642	20.97999954	0.03999999911	42.46949005	86.01829529	0.4982651472	0.3713923693	0.7453709841	86.22610474	42.24877548	95.56482697	74.30196381	55.91928482	68.34280396	26.79999924	20	731.7739868	5.280827045	1035.901479
0.009140249342	13.16851972	6.063375463	68.3125	-2.017935333	96.5625	15.89020343	3.95144226	59.5625	40.9375	1.842251062	-1.877000451	5.224205494	10.75719357	10.5990591	20.97999954	0.03999999911	42.4915657	85.81047821	0.454382658	0.3289065659	0.7238537073	90.17459869	41.52042007	82.23545837	74.13037872	52.92985916	67.09197998	26.79999924	20	731.7739868	5.280827045	1045.966479
0.02513568848	13.41130379	6.047259561	69.71875	-2.017935333	96.375	15.84958205	3.757216592	55.46875	40.96875	1.891004443	-1.739705205	5.668398857	10.81808662	10.62791824	20.97999954	0.03999999911	41.65284729	89.55114746	0.4643063545	0.3134130538	0.6750134826	91.83711243	41.41005707	80.03440857	68.78672028	51.75893021	70.57728577	26.79999924	20	731.7739868	5.280827045	1057.451479
0.0144720627	13.41130379	6.031143659	71	-2.017721128	96.375	15.94957314	3.794999093	78.90625	78.78125	1.778952718	-1.820830226	5.497022629	10.98022747	10.80572796	20.97999954	0.03999999911	41.58662796	90.79803467	0.4603631496	0.3219020367	0.6992350221	91.83711243	41.29970169	86.5721283	72.74964905	52.5401268	68.89128113	26.79999924	20	731.7739868	5.280827045	1068.036479
0.01294868719	13.47199981	6.034366839	80.96875	-2.018863559	97.375	16.00894286	3.787324523	65.3125	49.46875	1.797402978	-1.65350759	5.476951122	9.934806824	9.783224106	20.97999954	0.03999999911	41.45420074	91.21367645	0.4111258984	0.2908480167	0.7074427009	92.25274658	41.32177353	83.08519745	70.67631531	52.71857071	69.01750183	26.79999924	20	731.7739868	5.280827045	1078.951479
0.01371037588	13.25956375	6.118169531	83.46875	-2.017697327	97.59375	15.99019453	3.740686748	97.03125	78.78125	1.684599757	-1.721821308	4.651162624	8.785449028	8.64435482	20.97999954	0.03999999911	42.05013275	90.17459869	0.3657439947	0.2537890375	0.6938980222	90.79803467	41.8956337	82.61367035	71.09169006	51.33418655	66.69454193	26.79999924	20	731.7739868	5.280827045	1089.906479
0.008378562517	12.95608366	6.198749043	85.65625	-2.018197141	97.28125	16.32141502	3.828649133	73.5	58.09375	1.791794777	-1.976514935	5.84225893	12.66762638	12.52961731	20.97999954	0.03999999911	42.4915657	87.68080902	0.4861297607	0.3766225278	0.7747366428	88.71988678	42.44742203	86.46562195	76.01663971	58.30103683	71.04338074	26.79999924	20	731.7739868	5.280827045	1102.806479
0.02056556381	13.71478387	5.89577008	76.4375	-2.017697327	96.53125	16.0589384	3.995128276	77.65625	55.75	1.649685621	-1.73180604	5.552984715	10.54969978	10.42223454	20.97999954	0.03999999911	42.4915657	87.88863373	0.4281814098	0.3270410895	0.7637909651	93.91527557	40.37269974	82.45330811	78.98154449	58.45698547	70.53284454	26.79999924	20	731.7739868	5.280827045	1113.076479
0.008378562517	12.86503963	6.18263314	62.375	-2.017268915	96.3125	16.09018562	3.681061239	90.40625	79.4375	2.109739542	-2.001929045	5.833738327	12.81179523	12.61238098	20.97999954	0.03999999911	42.5577774	87.2651825	0.5225518942	0.3643210232	0.6971958876	88.09644318	42.33706284	82.39016724	73.07757568	53.20709991	72.78866577	26.79999924	20	731.7739868	5.280827045	1123.881479
0.01751881279	12.59190756	6.082714546	123.46875	-2.017554523	96.5	16.37141056	3.387066156	85.4375	62.1875	1.778194785	-1.678713202	5.819592476	10.71725178	10.54875946	20.97999954	0.03999999911	42.57984924	85.81047821	0.4137973785	0.2801027596	0.6769080162	86.22610474	41.65284729	85.69042206	73.94962311	53.65154266	71.89871979	26.79999924	20	731.7739868	5.280827045	1134.166479
0.01066362485	11.77251133	6.18263314	79.84375	-2.017840131	96.4375	16.26829475	3.434884634	77.15625	52.25	1.816376328	-1.912387371	5.527406693	11.59609127	11.40592194	20.97999954	0.03999999911	42.44742203	80.40727997	0.4580831528	0.3071883321	0.6705951095	80.61509705	42.33706284	83.61709595	75.84446716	53.69142914	68.9917984	26.79999924	20	731.7739868	5.280827045	1144.476479
0.01294868719	12.19738345	6.230980847	65.96875	-2.016697699	97.34375	16.2026756	3.48624522	62.5625	59.75	1.969241619	-1.941610456	5.97014904	12.71632576	12.50556469	20.97999954	0.03999999911	42.71228027	80.40727997	0.5091340542	0.3419000208	0.6715323925	83.52451324	42.6681366	86.6049881	75.21856689	52.48339462	69.97816467	26.79999924	20	731.7739868	5.280827045	1155.331479
